,제목,기간,주소
0,2023년 청와대 밤의 산책,2023. 12. 6. ~ 2023. 12. 11.,서울특별시 종로구 청와대로 1 청와대
1,2023 도서관 정책세미나,2023. 12. 7. ~ 2023. 12. 7.,서울특별시 서초구 반포대로 201 (반포동)
2,서울일러스트레이션페어V.16,2023. 12. 21. ~ 2023. 12. 24.,서울특별시 강남구 영동대로 513 (삼성동)
3,썬셋&썬라이즈워크,2023. 12. 28. ~ 2024. 1. 4.,서울특별시 용산구 남산공원길 105 (용산동2가)
4,2024 코리아그랜드세일,2024. 1. 11. ~ 2024. 2. 29.,서울특별시 종로구 인사동5길 29 태화빌딩
5,제이닷 트리 팝업,2023. 10. 15. ~ 2023. 12. 31.,서울특별시 종로구 사직로2길 12 (행촌동)
6,K-일러스트레이션페어 서울 2024,2024. 2. 22. ~ 2024. 2. 25.,서울특별시 강남구 영동대로 513 코엑스
7,2023 신사리 상권 릴레이 이벤트,2023. 8. 24. ~ 2023. 12. 30.,서울특별시 관악구 신림동
8,굿즈이즈굿,2024. 3. 21. ~ 2024. 3. 24.,SETEC 컨벤션센터
9,코리아비건페어 2024,2024. 4. 11. ~ 2024. 4. 13.,서울특별시 강남구 영동대로 513
10,서울국제가구 및 인테리어산업대전 : 소펀&라이프쇼,2024. 5. 2. ~ 2024. 5. 5.,서울특별시 강남구 영동대로 513 코엑스
11,2023 김포공항 문화의 날 26데이,2023. 5. 26. ~ 2023. 12. 26.,김포공항
12,2023 초·중·고등학생 문화공연 관람 지원 [공연봄날],2023. 4. 1. ~ 2023. 12. 31.,
13,토요명품,2023. 1. 7. ~ 2023. 12. 30.,서울특별시 서초구 남부순환로 2364
14,옥탑방고양이,2023. 1. 1. ~ 2023. 12. 31.,서울특별시 종로구 대학로10길 24
15,연극 수상한 흥신소,2023. 1. 1. ~ 2023. 12. 31.,대학로 익스트림씨어터 1관
16,남산봉수의식 등 전통문화 재현행사,2023. 1. 1. ~ 2023. 12. 31.,서울특별시 종로구 종로 54 보신각
17,왕궁 수문장 교대의식,2023. 1. 1. ~ 2023. 12. 31.,서울특별시 중구 세종대로 99
18,뮤직드라마 '당신만이',2023. 1. 1. ~ 2023. 12. 31.,서울특별시 종로구 이화장길 26
19,창덕궁 깊이보기 -심화해설-,2022. 12. 1. ~ 2023. 12. 31.,서울특별시 종로구 율곡로 99 창덕궁
