,제목,기간,주소
0,롯데월드 miracle winter,2023.11.25 ~ 2024.02.25,서울특별시 송파구 올림픽로 240
1,관악별빛산책,2023.11.01 ~ 2024.01.07,서울특별시 관악구 신림동 1642-7
2,"석촌호수의 가을과 겨울, 그리고 루미나리에",2023.10.27 ~ 2024.02.29,서울특별시 송파구 송파나루길 206 송파관광정보센터
3,정신건강축제 - 내 마음을 가꾸는 정원,2023.10.02 ~ 2023.12.31,서울특별시 마포구 홍익로 18
4,유러피언 크리스마스 마켓,2023.12.09 ~ 2023.12.10,서울특별시 성북구 동소문로6길 성북천분수마루
5,"겨울, 청계천의 빛",2023.12.15 ~ 2023.12.31,서울 중구 태평로1가 1
6,광화문광장 마켓,2023.12.15 ~ 2024.01.21,서울특별시 종로구 세종대로 175 (세종로) 광화문광장
7,서울 빛초롱 축제,2023.12.15 ~ 2024.01.21,서울특별시 종로구 세종대로 175 (세종로) 광화문광장
8,DDP 겨울축제,2023.12.21 ~ 2023.12.31,서울특별시 중구 을지로 281 (을지로7가) 동대문디자인플라자
9,서울라이트 DDP,2023.12.21 ~ 2023.12.31,서울특별시 중구 을지로 281
10,서울라이트 DDP : DDP 카운트다운,2023.12.31 ~ 2024.01.01,서울특별시 중구 을지로 281 (을지로7가) 동대문디자인플라자(DDP)
11,서울 아시테지 겨울축제,2024.01.03 ~ 2024.01.14,서울특별시 종로구 동숭길 114
12,DDP 여름축제 : 동대문 바이브,~,서울특별시 중구 을지로7가 143 동대문디자인플라자(DDP) 어울림광장
13,ㅊㅊ-하다 페스티벌,2023.11.20 ~ 2023.11.26,서울특별시 종로구 세종대로 175 (세종로)
14,무브살롱 시즌2: 펫토피아,2023.11.11 ~ 2023.11.12,서울특별시 서초구 양재동 양재천 영동1교 하부 굴다리
15,K-푸드페스타 in 서울,2023.11.10 ~ 2023.11.12,서울특별시 서초구 강남대로 27 AT센터  제2전시장
16,중구 도심산업 페스타,2023.11.10 ~ 2023.11.11,서울특별시 중구 을지로 281 (을지로7가)
17,월드판소리페스티벌,2023.11.07 ~ 2023.11.08,서울특별시 중구 퇴계로34길 28 (필동2가)
18,서울발레페스티벌,2023.11.08 ~ 2023.11.12,서울특별시 송파구 잠실동 잠실로 148
19,경상북도사과홍보행사,2023.11.06 ~ 2023.11.08,서울특별시 중구 을지로 지하12 (을지로1가)
20,예술고시촌 로컬페스티벌,2023.11.04 ~ 2023.11.26,서울특별시 관악구 호암로22길 51 (신림동)
21,양재플라워페스타,2023.11.03 ~ 2023.11.05,서울특별시 서초구 강남대로 27 AT센터   제2전시장
22,대한민국청소년미디어대전,2023.11.02 ~ 2023.11.04,서울특별시 중구 세종대로 110 서울특별시청
23,"<청춘마이크> 수도권 FESTA ""안녕, 당신""",2023.10.28 ~ 2023.10.28,서울특별시 마포구 증산로 87 (성산동)
24,강동북페스티벌,2023.10.28 ~ 2023.10.28,서울특별시 강동구 동남로 870 강동아트센터
25,서울에서 만나는 세계여행,2023.10.28 ~ 2023.10.28,서울특별시 광진구 능동로 216 어린이대공원
26,청룡문화제,2023.10.28 ~ 2023.10.28,서울특별시 동대문구 청계천로 (용두동)
27,실버문화페스티벌,2023.10.27 ~ 2023.10.28,서울특별시 영등포구 여의도동 여의도공원 문화의마당
28,한국의집 고호재,2023.10.24 ~ 2023.11.30,서울특별시 중구 퇴계로36길 10 (필동2가) 한국의집 소화당
29,구로청소년축제,2023.10.21 ~ 2023.10.21,서울특별시 구로구 구로중앙로 48 (구로동)
30,문화가 있는 날 청춘마이크 페스티벌,2023.10.21 ~ 2023.10.22,서울특별시 종로구 세종대로 175 (세종로) 세종문화화관 및 광화문 광장 일대
31,북촌공방축제 '장인의 작업실',2023.10.21 ~ 2023.10.21,서울특별시 종로구 북촌로5길 48 (화동)
32,서울 아프리카 페스티벌,2023.10.21 ~ 2023.10.21,서울특별시 서초구 신반포로11길 40 한강공원 반포 안내센터
33,정동문화축제,2023.10.19 ~ 2023.10.21,서울특별시 중구 정동 (세종대로 19길 124)
34,성북 책모꼬지 <지속 가능한 우리를 위하여>,2023.10.19 ~ 2023.11.17,서울특별시 성북구 화랑로18자길 13 (상월곡동)
35,노원 북 페스티벌,2023.10.15 ~ 2023.10.15,서울특별시 노원구 상계동 620 노원구립도서관
36,서대문 문화재야행,2023.10.14 ~ 2023.10.15,서울특별시 서대문구 통일로 247 독립문역
37,서울억새축제,2023.10.14 ~ 2023.10.20,서울특별시 마포구 하늘공원로 95 월드컵공원 하늘공원
38,웰컴 대학로,2023.10.14 ~ 2023.10.28,서울특별시 종로구 대학로 120 대학로 일대
39,"청춘, 커피페스티벌",2023.10.14 ~ 2023.10.15,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰  서울 롯데월드타워 잔디광장
40,강동선사문화축제,2023.10.13 ~ 2023.10.15,서울특별시 강동구 올림픽로 875 (암사동)
41,궁중문화축전,2023.10.13 ~ 2023.10.18,서울특별시 종로구 사직로 161
42,관악강감찬축제,2023.10.13 ~ 2023.10.15,서울특별시 관악구 낙성대로 77
43,도곡 매-트로 페스타,2023.10.13 ~ 2023.10.14,서울특별시 강남구 남부순환로378길 34-9 (도곡동) 도곡2동 주민센터
44,동대문구 문화재야행 월하홍릉,2023.10.13 ~ 2023.10.14,서울특별시 동대문구 홍릉로 90 영휘원  서울 영휘원과 숭인원 일대
45,빛조각 페스티벌 '노원달빛산책',2023.10.13 ~ 2023.11.05,서울특별시 노원구 동일로 1308-1 중계역
46,서울무형문화축제,2023.10.13 ~ 2023.10.14,서울특별시 종로구 율곡로3길 4 (안국동)
47,우이천 등(燈)축제 강북 꿈꾸는 물고기,2023.10.13 ~ 2023.10.22,서울특별시 강북구 번동
48,유라시아문화교류축제,2023.10.13 ~ 2023.10.15,서울특별시 영등포구 여의동로 330 (여의도동)
49,정동야행,2023.10.13 ~ 2023.10.14,서울특별시 중구 세종대로 99 덕수궁  서울 중구 정동 일대
50,조선왕릉문화제,2023.10.13 ~ 2023.10.22,경기도 고양시 덕양구 서오릉로 334-32 서오릉관리사무소 및 역사문화관
51,한강페스티벌,2023.10.13 ~ 2023.10.22,서울특별시 영등포구 여의동로 330 (여의도동)
52,도봉한글잔치,2023.10.09 ~ 2023.10.09,서울특별시 도봉구 해등로32가길 16 (방학동)
53,자문밖문화축제 <자문밖 열림>,2023.10.10 ~ 2023.10.15,서울특별시 종로구 평창문화로 70 (평창동)
54,강북 캠퍼스 피크닉,2023.10.07 ~ 2023.10.08,서울특별시 강북구 인수봉로 159 (수유동) 한신대학교 서울캠퍼스
55,댄싱노원 거리페스티벌,2023.10.07 ~ 2023.10.08,서울특별시 노원구 동일로 1414 롯데백화점  노해로 일원(롯데백화점 앞 - 순복음교회앞)
56,서울 웰니스 위크(Seoul Wellness Week),2023.10.07 ~ 2023.10.08,서울특별시 성동구 뚝섬로 273 (성수동1가)
57,양천가을문화축제,2023.10.07 ~ 2023.10.08,"서울특별시 양천구 남부순환로64길 26 (신월동) 서서울호수공원, 신월야구장, 서서울예술교육센터"
58,용마폭포문화예술축제,2023.10.07 ~ 2023.10.08,"서울특별시 중랑구 용마산로 250-12 용마배수지, 용마산돌산공원"
59,한화와 함께하는 서울세계불꽃축제,2023.10.07 ~ 2023.10.07,서울특별시 영등포구 여의동로 330
60,구로G페스티벌 × 안양천 감성정원,2023.10.06 ~ 2023.10.08,"서울특별시 구로구 구로동 621-8 안양천(고척교 ~ 오금교), 구로디지털단지 등"
61,명동맥주페스티벌,2023.10.06 ~ 2023.10.08,서울특별시 중구 명동길 14 (명동2가)
62,밤의 석조전,2023.10.06 ~ 2023.11.02,서울특별시 중구 세종대로 99 덕수궁
63,서울라이트 한강 빛섬축제,2023.10.06 ~ 2023.10.15,서울특별시 서초구 신반포로11길 40 (반포동)
64,종로축제 <렛츠종로>,2023.10.06 ~ 2023.10.22,서울특별시 종로구 돈화문로 84
65,서울와우북페스티벌,2023.10.05 ~ 2023.10.08,"서울특별시 마포구 양화로 72 서교동 효성 해링턴 타워  지하1층, 지하2층"
66,세계 민속춤 축제,2023.10.04 ~ 2023.10.04,서울특별시 성동구 행당동 왕십리 광장로
67,문화가 있는 날 10주년 페스타,2023.10.01 ~ 2023.10.31,서울특별시 종로구 세종대로 175   광화문 광장 및 전국 전역
68,서울거리예술축제,2023.09.29 ~ 2023.10.01,"서울특별시 중구 을지로 12 시청광장지하쇼핑센터  서울광장, 청계광장, 무교로 일대"
69,아우르기 페스티벌,2023.09.23 ~ 2023.09.23,서울특별시 광진구 능동로 216 (능동)
70,성북동문화재야행,2023.09.22 ~ 2023.09.23,서울특별시 성북구 성북로 50-2
71,양재 아트 살롱,2023.09.22 ~ 2023.11.11,서울특별시 서초구 양재동 261-23
72,한성백제문화제,2023.09.22 ~ 2023.09.24,서울특별시 송파구 올림픽로 424 올림픽공원
73,건강서울페스티벌,2023.09.21 ~ 2023.09.21,서울특별시 중구 세종대로 110 서울특별시청  서울시청광장
74,서울뷰티위크,2023.09.21 ~ 2023.09.24,서울특별시 중구 을지로 281   서울 동대문디지털플라자 DDP
75,서울커피앤티페어,2023.09.21 ~ 2023.09.24,서울특별시 서초구 강남대로 27 (양재동)
76,영양고추 H.O.T 페스티벌,2023.09.18 ~ 2023.09.20,서울특별시 중구 을지로 12 시청광장지하쇼핑센터  서울광장
77,서울스트리트댄스페스티벌 SSDF,2023.09.17 ~ 2023.09.17,서울특별시 용산구 양녕로 445   서울 노들섬 다목적홀
78,대한민국 고려인삼 페스티벌,2023.09.16 ~ 2023.09.17,서울특별시 중구 예장동 8-1
